FIPS10,County Name,City Name,"Total Population, 2018","Population in Households, 2018","Population in Group Quarters, 2018","Households, 2018","Persons per Household, 2018"
2709958576,Mower,Sargeant,56,56, -   ,27,2.07
2709964210,Mower,Taopi,52,52, -   ,21,2.48
2709967918,Mower,Waltham,155,155, -   ,67,2.31
2710103052,Murray,Avoca,138,138, -   ,59,2.34
2710110900,Murray,Chandler,255,255, -   ,106,2.41
2710114320,Murray,Currie,223,223, -   ,113,1.97
2710116300,Murray,Dovray,55,55, -   ,30,1.83
2710122958,Murray,Fulda,1272,1185,87,564,2.1
2710126450,Murray,Hadley,58,58, -   ,31,1.87
2710131094,Murray,Iona,139,139, -   ,74,1.88
2710135198,Murray,Lake Wilson,241,241, -   ,128,1.88
2710160808,Murray,Slayton,2100,2024,76,951,2.13
2710313582,Nicollet,Courtland,666,666, -   ,265,2.51
2710333920,Nicollet,Lafayette,484,484, -   ,214,2.26
2710346150,Nicollet,Nicollet,1140,1140, -   ,458,2.49
2710358036,Nicollet,Saint Peter,11967,9205,2762,3826,2.41
2710500262,Nobles,Adrian,1256,1230,26,504,2.44
2710505644,Nobles,Bigelow,234,234, -   ,88,2.66
2710507660,Nobles,Brewster,481,481, -   ,211,2.28
2710517144,Nobles,Dundee,65,65, -   ,39,1.67
2710518836,Nobles,Ellsworth,467,428,39,214,2
2710533236,Nobles,Kinbrae,16,16, -   ,8,2
2710537412,Nobles,Lismore,230,230, -   ,97,2.37
2710556086,Nobles,Round Lake,375,375, -   ,183,2.05
2710556338,Nobles,Rushmore,338,338, -   ,154,2.19
2710570582,Nobles,Wilmont,341,341, -   ,142,2.4
2710571734,Nobles,Worthington,13510,13177,333,4681,2.81
2710700172,Norman,Ada,1672,1612,60,738,2.18
2710707030,Norman,Borup,104,104, -   ,35,2.97
2710723246,Norman,Gary,202,202, -   ,80,2.53
2710726630,Norman,Halstad,581,543,38,246,2.21
2710728484,Norman,Hendrum,288,288, -   ,119,2.42
2710750506,Norman,Perley,83,83, -   ,43,1.93
2710759566,Norman,Shelly,187,187, -   ,90,2.08
2710765938,Norman,Twin Valley,797,762,35,352,2.16
2710916264,Olmsted,Dover,759,759, -   ,273,2.78
2710920114,Olmsted,Eyota,1973,1973, -   ,781,2.53
2710948598,Olmsted,Oronoco,1503,1496,7,530,2.82
2710954880,Olmsted,Rochester,117444,115293,2151,48044,2.4
2710962806,Olmsted,Stewartville,6237,6153,84,2468,2.49
2711103970,Otter Tail,Battle Lake,936,883,53,418,2.11
2711106778,Otter Tail,Bluffton,216,216, -   ,83,2.6
2711112088,Otter Tail,Clitherall,115,109,6,53,2.06
2711114626,Otter Tail,Dalton,250,250, -   ,113,2.21
2711115184,Otter Tail,Deer Creek,325,325, -   ,149,2.18
2711115724,Otter Tail,Dent,187,187, -   ,76,2.46
2711118566,Otter Tail,Elizabeth,168,168, -   ,64,2.63
2711119556,Otter Tail,Erhard,146,146, -   ,63,2.32
2711120906,Otter Tail,Fergus Falls,13747,13095,652,6161,2.13
2711128520,Otter Tail,Henning,825,788,37,375,2.1
2711146060,Otter Tail,New York Mills,1226,1181,45,548,2.16
2711149210,Otter Tail,Ottertail,640,640, -   ,276,2.32
2711149732,Otter Tail,Parkers Prairie,1024,954,70,429,2.22
2711150164,Otter Tail,Pelican Rapids,2525,2464,61,936,2.63
2711150470,Otter Tail,Perham,3388,3254,134,1522,2.14
2711154340,Otter Tail,Richville,87,87, -   ,39,2.23
2711166172,Otter Tail,Underwood,360,360, -   ,169,2.13
2711166388,Otter Tail,Urbank,54,54, -   ,27,2
2711166766,Otter Tail,Vergas,363,363, -   ,193,1.88
2711167216,Otter Tail,Vining,69,69, -   ,30,2.3
2711324470,Pennington,Goodridge,140,140, -   ,65,2.15
2711357022,Pennington,Saint Hilaire,270,270, -   ,122,2.21
2711364570,Pennington,Thief River Falls,8940,8670,270,4027,2.15
2711502548,Pine,Askov,349,349, -   ,170,2.05
2711507984,Pine,Brook Park,126,126, -   ,46,2.74
2711508290,Pine,Bruno,98,98, -   ,42,2.33
2711515670,Pine,Denham,37,37, -   ,16,2.31
2711521122,Pine,Finlayson,306,306, -   ,133,2.3
2711528574,Pine,Henriette,89,89, -   ,36,2.47
2711529294,Pine,Hinckley,1902,1898,4,805,2.36
2711532912,Pine,Kerrick,64,64, -   ,29,2.21
2711551064,Pine,Pine City,3261,3092,169,1401,2.21
2711554934,Pine,Rock Creek,1634,1613,21,594,2.72
2711556518,Pine,Rutledge,223,223, -   ,93,2.4
2711558396,Pine,Sandstone,2685,1433,1252,598,2.4
2711563220,Pine,Sturgeon Lake,427,427, -   ,164,2.6
2711570492,Pine,Willow River,395,395, -   ,170,2.32
2711718152,Pipestone,Edgerton,1122,1064,58,484,2.2
2711727566,Pipestone,Hatfield,47,47, -   ,19,2.47
2711729618,Pipestone,Holland,164,164, -   ,88,1.86
2711730806,Pipestone,Ihlen,52,52, -   ,28,1.86
2711751388,Pipestone,Pipestone,4150,4002,148,1914,2.09
2711756482,Pipestone,Ruthton,212,212, -   ,101,2.1
2711765542,Pipestone,Trosky,68,68, -   ,33,2.06
2711771680,Pipestone,Woodstock,104,104, -   ,48,2.17
2711905014,Polk,Beltrami,97,97, -   ,40,2.43
2711911962,Polk,Climax,267,267, -   ,115,2.32
2711913870,Polk,Crookston,8021,7261,760,3243,2.24
2711917612,Polk,East Grand Forks,8875,8809,66,3620,2.43
2711919700,Polk,Erskine,492,492, -   ,228,2.16
2711920978,Polk,Fertile,848,800,48,375,2.13
2711921158,Polk,Fisher,429,429, -   ,179,2.4
2711921986,Polk,Fosston,1489,1418,71,676,2.1
2711926270,Polk,Gully,59,59, -   ,35,1.69
2711936404,Polk,Lengby,83,83, -   ,44,1.89
2711939050,Polk,McIntosh,612,565,47,285,1.98
2711941714,Polk,Mentor,146,146, -   ,76,1.92
2711946258,Polk,Nielsville,88,88, -   ,42,2.1
2711965344,Polk,Trail,44,44, -   ,25,1.76
2711970870,Polk,Winger,215,215, -   ,90,2.39
2712114446,Pope,Cyrus,289,289, -   ,140,2.06
2712120690,Pope,Farwell,50,50, -   ,27,1.85
2712124074,Pope,Glenwood,2573,2493,80,1244,2
2712137970,Pope,Long Beach,346,346, -   ,155,2.23
2712138366,Pope,Lowry,310,310, -   ,134,2.31
2712159188,Pope,Sedan,50,50, -   ,24,2.08
2712162500,Pope,Starbuck,1290,1218,72,579,2.1
2712167144,Pope,Villard,254,254, -   ,119,2.13
2712169628,Pope,Westport,54,54, -   ,24,2.25
2712302026,Ramsey,Arden Hills,9889,8152,1737,3220,2.53
2712320420,Ramsey,Falcon Heights,5479,5002,477,2172,2.3
2712323318,Ramsey,Gem Lake,454,454, -   ,169,2.69
2712335738,Ramsey,Lauderdale,2408,2404,4,1160,2.07
2712337502,Ramsey,Little Canada,10386,10334,52,4667,2.21
2712340382,Ramsey,Maplewood,40710,39588,1122,15693,2.52
2712344530,Ramsey,Mounds View,13328,13296,32,5223,2.55
2712345430,Ramsey,New Brighton,23119,22792,327,9534,2.39
2712347104,Ramsey,North Oaks,5304,5200,104,1999,2.6
2712347221,Ramsey,North Saint Paul,12159,12106,53,4841,2.5
2712355852,Ramsey,Roseville,36272,34821,1451,15511,2.24
2712358000,Ramsey,Saint Paul,313010,301939,11071,118666,2.54
2712359998,Ramsey,Shoreview,26480,26227,253,11018,2.38
2712366460,Ramsey,Vadnais Heights,13198,13137,61,5386,2.44
2712508038,Red Lake,Brooks,136,136, -   ,60,2.27
2712548202,Red Lake,Oklee,428,428, -   ,194,2.21
2712551712,Red Lake,Plummer,298,298, -   ,130,2.29
2712553476,Red Lake,Red Lake Falls,1381,1369,12,619,2.21
2712705050,Redwood,Belview,362,337,25,165,2.04
2712711836,Redwood,Clements,140,140, -   ,63,2.22
2712715544,Redwood,Delhi,65,65, -   ,30,2.17
2712735288,Redwood,Lamberton,799,744,55,361,2.06
2712738420,Redwood,Lucan,183,183, -   ,90,2.03
2712742362,Redwood,Milroy,246,246, -   ,115,2.14
2712744116,Redwood,Morgan,864,831,33,368,2.26
2712753908,Redwood,Revere,92,73,19,33,2.21
2712758306,Redwood,Sanborn,314,314, -   ,158,1.99
2712759098,Redwood,Seaforth,81,81, -   ,34,2.38
2712766982,Redwood,Vesta,297,297, -   ,120,2.48
2712767396,Redwood,Wabasso,693,651,42,288,2.26
2712767846,Redwood,Walnut Grove,818,818, -   ,304,2.69
2712768008,Redwood,Wanda,84,84, -   ,40,2.1
2712906076,Renville,Bird Island,989,976,13,478,2.04
2712908488,Renville,Buffalo Lake,674,619,55,270,2.29
2712914716,Renville,Danube,461,461, -   ,194,2.38
2712920222,Renville,Fairfax,1152,1094,58,495,2.21
2712922364,Renville,Franklin,474,428,46,195,2.19
2712928124,Renville,Hector,1076,1073,3,492,2.18
2712944368,Renville,Morton,371,371, -   ,179,2.07
2712948256,Renville,Olivia,2439,2293,146,1052,2.18
2712953890,Renville,Renville,1227,1183,44,520,2.28
2712956572,Renville,Sacred Heart,504,504, -   ,222,2.27
2713117126,Rice,Dundas,1571,1571, -   ,598,2.63
2713120546,Rice,Faribault,23884,21311,2573,8620,2.47
2713138150,Rice,Lonsdale,4128,4125,3,1429,2.89
2713144296,Rice,Morristown,995,974,21,400,2.44
2713145196,Rice,Nerstrand,309,309, -   ,114,2.71
2713304492,Rock,Beaver Creek,286,286, -   ,114,2.51
2713327116,Rock,Hardwick,186,186, -   ,83,2.24
2713329204,Rock,Hills,668,621,47,261,2.38
2713332750,Rock,Kenneth,61,61, -   ,27,2.26
2713338564,Rock,Luverne,4725,4542,183,2093,2.17
2713339338,Rock,Magnolia,209,179,30,74,2.42
2713362662,Rock,Steen,182,182, -   ,69,2.64
2713503160,Roseau,Badger,362,362, -   ,178,2.03
2713525604,Roseau,Greenbush,713,661,52,299,2.21
2713555546,Roseau,Roseau,2775,2686,89,1226,2.19
2713563130,Roseau,Strathcona,35,35, -   ,13,2.69
2713568224,Roseau,Warroad,1838,1792,46,807,2.22
2713702872,Saint Louis,Aurora,1670,1609,61,785,2.05
2713703106,Saint Louis,Babbitt,1454,1443,11,736,1.96
2713706148,Saint Louis,Biwabik,995,979,16,492,1.99
2713708056,Saint Louis,Brookston,124,83,41,32,2.59
2713708524,Saint Louis,Buhl,980,886,94,434,2.04
2713711386,Saint Louis,Chisholm,4937,4806,131,2291,2.1
2713713006,Saint Louis,Cook,547,519,28,261,1.99
2713717000,Saint Louis,Duluth,87213,80729,6484,36736,2.2
2713719142,Saint Louis,Ely,3410,3164,246,1693,1.87
2713719934,Saint Louis,Eveleth,3609,3498,111,1664,2.1
2713721338,Saint Louis,Floodwood,518,512,6,257,1.99
2713723714,Saint Louis,Gilbert,1785,1781,4,839,2.12
2713728682,Saint Louis,Hermantown,9731,9047,684,3641,2.48
2713728790,Saint Louis,Hibbing,16353,16086,267,7468,2.15
2713730302,Saint Louis,Hoyt Lakes,1975,1970,5,883,2.23
2713731238,Saint Louis,Iron Junction,88,88, -   ,45,1.96
2713733416,Saint Louis,Kinney,159,159, -   ,67,2.37
2713736530,Saint Louis,Leonidas,48,48, -   ,23,2.09
2713739140,Saint Louis,McKinley,127,127, -   ,55,2.31
2713741372,Saint Louis,Meadowlands,131,131, -   ,68,1.93
2713744548,Saint Louis,Mountain Iron,2893,2877,16,1369,2.1
2713748634,Saint Louis,Orr,289,289, -   ,131,2.21
2713752630,Saint Louis,Proctor,3071,2975,96,1300,2.29
2713754060,Saint Louis,Rice Lake,4103,4095,8,1657,2.47
2713765272,Saint Louis,Tower,491,491, -   ,265,1.85
2713767288,Saint Louis,Virginia,8439,8019,420,4217,1.9
2713771140,Saint Louis,Winton,164,164, -   ,85,1.93
2713904834,Scott,Belle Plaine,7408,7259,149,2511,2.89
2713918662,Scott,Elko New Market,4769,4769, -   ,1495,3.19
2713932174,Scott,Jordan,6155,6155, -   ,2146,2.87
2713952594,Scott,Prior Lake,26135,26125,10,9536,2.74
2713958738,Scott,Savage,31407,31388,19,10532,2.98
2713959350,Scott,Shakopee,41506,40410,1096,13787,2.93
2714104618,Sherburne,Becker,4856,4796,60,1624,2.95
2714105752,Sherburne,Big Lake,11456,11426,30,3817,2.99
2714111764,Sherburne,Clear Lake,619,619, -   ,229,2.7
2714118674,Sherburne,Elk River,24891,24094,797,8658,2.78
2714172238,Sherburne,Zimmerman,5734,5734, -   ,1971,2.91
2714302152,Sibley,Arlington,2230,2164,66,911,2.38
2714323300,Sibley,Gaylord,2282,2230,52,933,2.39
2714323678,Sibley,Gibbon,777,777, -   ,353,2.2
2714325658,Sibley,Green Isle,567,567, -   ,221,2.57
2714328394,Sibley,Henderson,925,925, -   ,398,2.32
2714345376,Sibley,New Auburn,446,446, -   ,175,2.55
2714371122,Sibley,Winthrop,1412,1370,42,583,2.35
2714500622,Stearns,Albany,2712,2631,81,1088,2.42
2714503070,Stearns,Avon,1639,1639, -   ,652,2.51
2714504762,Stearns,Belgrade,762,721,41,316,2.28
2714512484,Stearns,Cold Spring,4201,4110,91,1627,2.53
2714519088,Stearns,Elrosa,216,211,5,87,2.43
2714522652,Stearns,Freeport,685,685, -   ,290,2.36
2714525874,Stearns,Greenwald,238,238, -   ,103,2.31
2714529582,Stearns,Holdingford,717,717, -   ,312,2.3
2714533164,Stearns,Kimball,795,777,18,324,2.4
2714534478,Stearns,Lake Henry,100,100, -   ,46,2.17
2714541534,Stearns,Meire Grove,176,176, -   ,68,2.59
2714541570,Stearns,Melrose,3666,3583,83,1331,2.69
2714545772,Stearns,New Munich,320,312,8,124,2.52
2714549966,Stearns,Paynesville,2513,2429,84,1101,2.21
2714554268,Stearns,Richmond,1478,1472,6,607,2.43
2714555078,Stearns,Rockville,2570,2570, -   ,926,2.78
2714555510,Stearns,Roscoe,103,103, -   ,48,2.15
2714556698,Stearns,Saint Anthony,90,90, -   ,31,2.9
2714556724,Stearns,Saint Augusta,3563,3552,11,1240,2.86
2714557130,Stearns,Saint Joseph,7318,5580,1738,2114,2.64
2714557238,Stearns,Saint Martin,341,341, -   ,133,2.56
2714558072,Stearns,Saint Rosa,72,72, -   ,30,2.4
2714558090,Stearns,Saint Stephen,881,881, -   ,314,2.81
2714558648,Stearns,Sauk Centre,4554,4424,130,1931,2.29
2714561888,Stearns,Spring Hill,90,90, -   ,36,2.5
2714567612,Stearns,Waite Park,7777,7695,82,3533,2.18
2714718746,Steele,Ellendale,672,672, -   ,288,2.33
2714741426,Steele,Medford,1284,1276,8,470,2.71
2714749300,Steele,Owatonna,26087,25608,479,10327,2.48
2714900676,Stevens,Alberta,111,111, -   ,46,2.41
2714911440,Stevens,Chokio,389,388,1,202,1.92
2714916084,Stevens,Donnelly,224,224, -   ,106,2.11
2714926936,Stevens,Hancock,763,757,6,299,2.53
2714944242,Stevens,Morris,5452,4557,895,2055,2.22
2715101864,Swift,Appleton,1356,1295,61,664,1.95
2715105212,Swift,Benson,3156,3047,109,1464,2.08
2715112124,Swift,Clontarf,150,150, -   ,62,2.42
2715114734,Swift,Danvers,95,95, -   ,40,2.38
2715115418,Swift,De Graff,119,119, -   ,55,2.16
2715129672,Swift,Holloway,86,86, -   ,49,1.76
2715132876,Swift,Kerkhoven,742,742, -   ,327,2.27
2715144818,Swift,Murdock,269,269, -   ,115,2.34
2715305482,Todd,Bertha,486,486, -   ,203,2.39
2715308110,Todd,Browerville,789,753,36,327,2.3
2715308902,Todd,Burtrum,138,138, -   ,62,2.23
2715311602,Todd,Clarissa,663,584,79,286,2.04
2715317342,Todd,Eagle Bend,519,519, -   ,248,2.09
2715326000,Todd,Grey Eagle,335,335, -   ,162,2.07
2715328754,Todd,Hewitt,254,254, -   ,109,2.33
2715338060,Todd,Long Prairie,3375,3243,132,1292,2.51
2715369736,Todd,West Union,104,104, -   ,40,2.6
2715508200,Traverse,Browns Valley,559,520,39,247,2.11
2715517090,Traverse,Dumont,86,86, -   ,45,1.91
2715564948,Traverse,Tintah,58,58, -   ,26,2.23
2715569844,Traverse,Wheaton,1366,1305,61,651,2
2715718530,Wabasha,Elgin,1102,1102, -   ,412,2.67
2715726828,Wabasha,Hammond,114,114, -   ,52,2.19
2715732642,Wabasha,Kellogg,450,450, -   ,200,2.25
2715741282,Wabasha,Mazeppa,876,876, -   ,355,2.47
2715742290,Wabasha,Millville,175,175, -   ,74,2.36
2715751424,Wabasha,Plainview,3387,3327,60,1318,2.52
2715767378,Wabasha,Wabasha,2515,2393,122,1173,2.04
2715772310,Wabasha,Zumbro Falls,204,204, -   ,83,2.46
2715900892,Wadena,Aldrich,42,42, -   ,21,2
2715941660,Wadena,Menahga,1341,1276,65,599,2.13
2715946294,Wadena,Nimrod,77,77, -   ,38,2.03
2715959152,Wadena,Sebeka,692,692, -   ,312,2.22
2715966874,Wadena,Verndale,581,581, -   ,233,2.49
2716131706,Waseca,Janesville,2322,2278,44,919,2.48
2716145862,Waseca,New Richland,1205,1147,58,493,2.33
2716167756,Waseca,Waldorf,225,225, -   ,100,2.25
2716168296,Waseca,Waseca,9027,8182,845,3525,2.32
2716300316,Washington,Afton,3024,3005,19,1131,2.66
2716304114,Washington,Bayport,3893,2297,1596,979,2.35
2716306058,Washington,Birchwood Village,876,876, -   ,355,2.47
2716313456,Washington,Cottage Grove,37341,37290,51,12553,2.97
2716315616,Washington,Dellwood,1135,1131,4,389,2.91
2716321770,Washington,Forest Lake,20598,20482,116,7831,2.62
2716325334,Washington,Grant,4105,4071,34,1476,2.76
2716330392,Washington,Hugo,15247,15231,16,5744,2.65
2716334244,Washington,Lake Elmo,10521,10501,20,3619,2.9
2716334622,Washington,Lakeland,1811,1811, -   ,696,2.6
2716334658,Washington,Lakeland Shores,320,320, -   ,119,2.69
2716334865,Washington,Lake Saint Croix Beach,1049,1049, -   ,452,2.32
2716335414,Washington,Landfall,762,762, -   ,298,2.56
2716339428,Washington,Mahtomedi,8040,7957,83,3033,2.62
2716340562,Washington,Marine on Saint Croix,711,711, -   ,307,2.32
2716345790,Washington,Newport,3678,3664,14,1451,2.53
2716347680,Washington,Oakdale,28315,28157,158,11336,2.48
2716347914,Washington,Oak Park Heights,4801,4304,497,2272,1.89
2716351316,Washington,Pine Springs,414,414, -   ,147,2.82
2716357292,Washington,Saint Marys Point,368,368, -   ,148,2.49
2716358018,Washington,Saint Paul Park,5581,5523,58,2062,2.68
2716358900,Washington,Scandia,4129,4103,26,1500,2.74
2716362824,Washington,Stillwater,19915,19497,418,7674,2.54
2716370366,Washington,Willernie,542,542, -   ,225,2.41
2716371428,Washington,Woodbury,70840,70480,360,25860,2.73
2716508992,Watonwan,Butterfield,572,572, -   ,218,2.62
2716514770,Watonwan,Darfur,102,102, -   ,47,2.17
2716535702,Watonwan,La Salle,92,92, -   ,43,2.14
2716536818,Watonwan,Lewisville,243,243, -   ,101,2.41
2716539230,Watonwan,Madelia,2302,2219,83,909,2.44
2716548094,Watonwan,Odin,103,103, -   ,54,1.91
2716557040,Watonwan,Saint James,4545,4477,68,1847,2.42
2716707462,Wilkin,Breckenridge,3298,3155,143,1481,2.13
2716709496,Wilkin,Campbell,141,141, -   ,68,2.07
2716716156,Wilkin,Doran,40,40, -   ,18,2.22
2716722202,Wilkin,Foxhome,115,115, -   ,54,2.13
2716732786,Wilkin,Kent,71,71, -   ,34,2.09
2716744944,Wilkin,Nashua,55,55, -   ,22,2.5
2716771392,Wilkin,Wolverton,131,131, -   ,58,2.26
2716901234,Winona,Altura,466,466, -   ,174,2.68
2716914518,Winona,Dakota,302,302, -   ,132,2.29
2716918386,Winona,Elba,148,148, -   ,69,2.14
2716924524,Winona,Goodview,4168,4135,33,1754,2.36
2716936800,Winona,Lewiston,1523,1507,16,590,2.55
2716943144,Winona,Minnesota City,189,189, -   ,77,2.45
2716955276,Winona,Rollingstone,653,653, -   ,256,2.55
2716956788,Winona,Saint Charles,3838,3785,53,1465,2.58
2716962896,Winona,Stockton,721,721, -   ,274,2.63
2716966424,Winona,Utica,270,270, -   ,99,2.73
2716971032,Winona,Winona,27207,23532,3675,10712,2.2
2717100730,Wright,Albertville,7485,7480,5,2516,2.97
2717101684,Wright,Annandale,3374,3265,109,1401,2.33
2717108452,Wright,Buffalo,16479,15995,484,5994,2.67
2717112430,Wright,Cokato,2762,2675,87,1025,2.61
2717115454,Wright,Delano,6187,6129,58,2218,2.76
2717130284,Wright,Howard Lake,2082,2026,56,833,2.43
2717140220,Wright,Maple Lake,2164,2140,24,811,2.64
2717143774,Wright,Monticello,13782,13603,179,5015,2.71
2717143810,Wright,Montrose,3247,3247, -   ,1183,2.74
2717149138,Wright,Otsego,17323,17305,18,5975,2.9
2717157346,Wright,Saint Michael,17835,17835, -   ,5679,3.14
2717161402,Wright,South Haven,190,190, -   ,71,2.68
2717168764,Wright,Waverly,1528,1487,41,589,2.52
2717309604,Yellow Medicine,Canby,1723,1601,122,779,2.06
2717311656,Yellow Medicine,Clarkfield,812,763,49,359,2.13
2717317900,Yellow Medicine,Echo,258,258, -   ,107,2.41
2717326972,Yellow Medicine,Hanley Falls,275,275, -   ,99,2.78
2717328016,Yellow Medicine,Hazel Run,61,61, -   ,28,2.18
2717352144,Yellow Medicine,Porter,175,175, -   ,84,2.08
2717357202,Yellow Medicine,Saint Leo,92,92, -   ,46,2
2717371446,Yellow Medicine,Wood Lake,417,417, -   ,176,2.37
2799904798,Multi-County City,Bellechester,170,170, -   ,76,2.24
2799906382,Multi-County City,Blaine,66667,66419,248,24206,2.74
2799906580,Multi-County City,Blooming Prairie,1992,1937,55,808,2.4
2799907282,Multi-County City,Braham,1804,1796,8,720,2.49
2799908092,Multi-County City,Brooten,747,675,72,297,2.27
2799909154,Multi-County City,Byron,5770,5765,5,2145,2.69
2799910918,Multi-County City,Chanhassen,26266,26247,19,9456,2.78
2799911008,Multi-County City,Chatfield,2881,2806,75,1142,2.46
2799911800,Multi-County City,Clearwater,1796,1796, -   ,704,2.55
2799912772,Multi-County City,Comfrey,353,353, -   ,161,2.19
2799915022,Multi-County City,Dayton,6072,6064,8,2158,2.81
2799915706,Multi-County City,Dennison,213,213, -   ,78,2.73
2799918134,Multi-County City,Eden Valley,1044,1044, -   ,438,2.38
2799919160,Multi-County City,Elysian,712,708,4,301,2.35
2799925280,Multi-County City,Granite Falls,2762,2638,124,1260,2.09
2799926990,Multi-County City,Hanover,3476,3473,3,1089,3.19
2799927530,Multi-County City,Hastings,23139,22467,672,9105,2.47
2799931760,Multi-County City,Jasper,595,595, -   ,285,2.09
2799933866,Multi-County City,La Crescent,5169,5102,67,2201,2.32
2799934172,Multi-County City,Lake City,5179,5048,131,2349,2.15
2799936746,Multi-County City,Le Sueur,4091,3991,100,1671,2.39
2799939878,Multi-County City,Mankato,43571,39791,3780,17216,2.31
2799943036,Multi-County City,Minneiska,109,109, -   ,58,1.88
2799943198,Multi-County City,Minnesota Lake,662,662, -   ,291,2.27
2799944422,Multi-County City,Motley,659,659, -   ,303,2.17
2799945808,Multi-County City,New Prague,8056,7977,79,3007,2.65
2799946924,Multi-County City,Northfield,20426,15701,4725,6522,2.41
2799947068,Multi-County City,North Mankato,14059,14011,48,5927,2.36
2799948562,Multi-County City,Ormsby,127,127, -   ,64,1.98
2799948796,Multi-County City,Osakis,1784,1713,71,772,2.22
2799951136,Multi-County City,Pine Island,3420,3351,69,1374,2.44
2799952522,Multi-County City,Princeton,4755,4592,163,2008,2.29
2799953296,Multi-County City,Raymond,761,761, -   ,309,2.46
2799953656,Multi-County City,Redwood Falls,5236,5032,204,2296,2.19
2799955006,Multi-County City,Rockford,4390,4390, -   ,1646,2.67
2799955438,Multi-County City,Roosevelt,131,131, -   ,55,2.38
2799956014,Multi-County City,Rothsay,484,484, -   ,214,2.26
2799956176,Multi-County City,Royalton,1249,1237,12,464,2.67
2799956680,Multi-County City,Saint Anthony,9067,8912,155,4096,2.18
2799956896,Multi-County City,Saint Cloud,68202,63550,4652,26708,2.38
2799956950,Multi-County City,Saint Francis,7872,7872, -   ,2736,2.88
2799958612,Multi-County City,Sartell,18754,18335,419,7055,2.6
2799961996,Multi-County City,Spring Lake Park,6410,6394,16,2698,2.37
2799962446,Multi-County City,Staples,2972,2754,218,1256,2.19
2799963778,Multi-County City,Swanville,348,348, -   ,143,2.43
2799967504,Multi-County City,Wadena,4150,3987,163,1891,2.11
2799969970,Multi-County City,White Bear Lake,25458,25131,327,10624,2.37
