FIPS10,County Name,City Name,"Total Population, 2018","Population in Households, 2018","Population in Group Quarters, 2018","Households, 2018","Persons per Household, 2018"
2702510576,Chisago,Center City,622,571,51,243,2.35
2702511350,Chisago,Chisago City,5414,5273,141,2277,2.32
2702527278,Chisago,Harris,1158,1152,6,439,2.62
2702537304,Chisago,Lindstrom,4665,4665, -   ,1887,2.47
2702546798,Chisago,North Branch,10726,10590,136,3844,2.75
2702556266,Chisago,Rush City,3094,2041,1053,854,2.39
2702559314,Chisago,Shafer,1087,1087, -   ,397,2.74
2702562320,Chisago,Stacy,1524,1524, -   ,581,2.62
2702564318,Chisago,Taylors Falls,1024,1020,4,443,2.3
2702572022,Chisago,Wyoming,8037,8019,18,2847,2.82
2702703574,Clay,Barnesville,2666,2634,32,1058,2.49
2702712862,Clay,Comstock,92,92, -   ,39,2.36
2702715976,Clay,Dilworth,4514,4510,4,1806,2.5
2702720834,Clay,Felton,173,173, -   ,77,2.25
2702723498,Clay,Georgetown,82,82, -   ,34,2.41
2702724182,Clay,Glyndon,1404,1404, -   ,470,2.99
2702727746,Clay,Hawley,2236,2232,4,939,2.38
2702729402,Clay,Hitterdal,199,199, -   ,89,2.24
2702743864,Clay,Moorhead,43522,40718,2804,17043,2.39
2702756554,Clay,Sabin,554,554, -   ,192,2.89
2702766136,Clay,Ulen,554,513,41,241,2.13
2702903196,Clearwater,Bagley,1421,1346,75,638,2.11
2702911746,Clearwater,Clearbrook,520,483,37,254,1.9
2702924344,Clearwater,Gonvick,287,287, -   ,132,2.17
2702936494,Clearwater,Leonard,40,40, -   ,19,2.11
2702959782,Clearwater,Shevlin,169,169, -   ,68,2.49
2703124992,Cook,Grand Marais,1410,1369,41,721,1.9
2703305896,Cottonwood,Bingham Lake,128,128, -   ,57,2.25
2703331796,Cottonwood,Jeffers,349,349, -   ,161,2.17
2703344566,Cottonwood,Mountain Lake,2108,2056,52,854,2.41
2703363022,Cottonwood,Storden,203,203, -   ,100,2.03
2703369250,Cottonwood,Westbrook,710,674,36,340,1.98
2703370798,Cottonwood,Windom,4539,4379,160,1995,2.19
2703504042,Crow Wing,Baxter,8478,8432,46,3350,2.52
2703507300,Crow Wing,Brainerd,13732,13116,616,5950,2.2
2703507516,Crow Wing,Breezy Point,2485,2485, -   ,961,2.59
2703513924,Crow Wing,Crosby,2360,2246,114,1064,2.11
2703513978,Crow Wing,Crosslake,2275,2270,5,1102,2.06
2703514428,Crow Wing,Cuyuna,341,341, -   ,129,2.64
2703515346,Crow Wing,Deerwood,535,535, -   ,229,2.34
2703519286,Crow Wing,Emily,857,857, -   ,394,2.18
2703521032,Crow Wing,Fifty Lakes,405,405, -   ,183,2.21
2703521932,Crow Wing,Fort Ripley,69,69, -   ,33,2.09
2703523192,Crow Wing,Garrison,215,215, -   ,111,1.94
2703531274,Crow Wing,Ironton,572,572, -   ,263,2.17
2703531832,Crow Wing,Jenkins,457,457, -   ,180,2.54
2703539806,Crow Wing,Manhattan Beach,61,61, -   ,27,2.26
2703546348,Crow Wing,Nisswa,2069,2069, -   ,932,2.22
2703550416,Crow Wing,Pequot Lakes,2346,2343,3,1043,2.25
2703554736,Crow Wing,Riverton,111,111, -   ,46,2.41
2703565506,Crow Wing,Trommald,104,104, -   ,49,2.12
2703701900,Dakota,Apple Valley,53429,53117,312,20361,2.61
2703708794,Dakota,Burnsville,62657,62244,413,25339,2.46
2703712376,Dakota,Coates,168,168, -   ,67,2.51
2703717288,Dakota,Eagan,68347,68100,247,27135,2.51
2703720618,Dakota,Farmington,22880,22679,201,7925,2.86
2703726864,Dakota,Hampton,706,706, -   ,255,2.77
2703731076,Dakota,Inver Grove Heights,35381,35222,159,14215,2.48
2703735180,Dakota,Lakeville,64334,64271,63,21788,2.95
2703737016,Dakota,Lilydale,947,947, -   ,592,1.6
2703741678,Dakota,Mendota,206,206, -   ,80,2.58
2703741696,Dakota,Mendota Heights,11392,11297,95,4593,2.46
2703742092,Dakota,Miesville,137,137, -   ,57,2.4
2703746024,Dakota,New Trier,114,114, -   ,41,2.78
2703753098,Dakota,Randolph,470,470, -   ,176,2.67
2703755726,Dakota,Rosemount,24342,24293,49,8609,2.82
2703761492,Dakota,South Saint Paul,20878,20769,109,8408,2.47
2703763544,Dakota,Sunfish Lake,516,516, -   ,182,2.84
2703766802,Dakota,Vermillion,439,436,3,160,2.73
2703769700,Dakota,West Saint Paul,21053,20755,298,9047,2.29
2703911566,Dodge,Claremont,535,535, -   ,219,2.44
2703915994,Dodge,Dodge Center,2764,2708,56,1044,2.59
2703927872,Dodge,Hayfield,1342,1298,44,557,2.33
2703932498,Dodge,Kasson,6504,6477,27,2463,2.63
2703939986,Dodge,Mantorville,1222,1219,3,445,2.74
2703969304,Dodge,West Concord,776,769,7,322,2.39
2704100928,Douglas,Alexandria,13951,13542,409,6696,2.02
2704107336,Douglas,Brandon,495,495, -   ,212,2.33
2704109964,Douglas,Carlos,499,498,1,198,2.52
2704119898,Douglas,Evansville,603,576,27,270,2.13
2704121608,Douglas,Forada,163,163, -   ,81,2.01
2704123120,Douglas,Garfield,361,361, -   ,146,2.47
2704132768,Douglas,Kensington,287,287, -   ,137,2.09
2704142254,Douglas,Millerville,107,107, -   ,46,2.33
2704142398,Douglas,Miltona,433,433, -   ,169,2.56
2704145106,Douglas,Nelson,183,183, -   ,83,2.2
2704306688,Faribault,Blue Earth,3204,3036,168,1457,2.08
2704307678,Faribault,Bricelyn,346,346, -   ,164,2.11
2704315472,Faribault,Delavan,165,165, -   ,82,2.01
2704317738,Faribault,Easton,189,189, -   ,87,2.17
2704318998,Faribault,Elmore,584,584, -   ,273,2.14
2704322940,Faribault,Frost,186,186, -   ,92,2.02
2704333056,Faribault,Kiester,473,473, -   ,241,1.96
2704367900,Faribault,Walters,65,65, -   ,29,2.24
2704369106,Faribault,Wells,2243,2194,49,1011,2.17
2704370924,Faribault,Winnebago,1333,1329,4,607,2.19
2704509802,Fillmore,Canton,349,349, -   ,164,2.13
2704522094,Fillmore,Fountain,417,417, -   ,177,2.36
2704527188,Fillmore,Harmony,1026,974,52,486,2
2704535450,Fillmore,Lanesboro,764,764, -   ,381,2.01
2704538888,Fillmore,Mabel,771,720,51,356,2.02
2704549030,Fillmore,Ostrander,250,225,25,109,2.06
2704550596,Fillmore,Peterson,193,193, -   ,95,2.03
2704552450,Fillmore,Preston,1329,1303,26,610,2.14
2704556284,Fillmore,Rushford,1770,1700,70,721,2.36
2704556302,Fillmore,Rushford Village,841,841, -   ,319,2.64
